Step,AgentID,ID,Type,Zone,CurrentZone,SES,ThreatScore,CopingScore,Action,Influenced,EarlyEvacuated,SocialNetwork,Longitude,Latitude
0,100,100,agent,Heugem,Heugem,medium,5.0,5.0,mitigate,False,False,3,635377.4365384894,6591192.796858185
0,101,101,agent,Heugem,SafeZone,medium,3.0,3.0,evacuate,False,True,3,637324.7548223214,6592335.354076652
0,102,102,agent,Heugemerveld,SafeZone,medium,5.0,1.0,evacuate,False,True,4,637436.8746714985,6592383.889246608
0,103,103,agent,Heugemerveld,SafeZone,high,4.25,2.5,evacuate,False,True,4,636660.8386779211,6592422.98919295
0,104,104,agent,Heugem,SafeZone,medium,4.5,3.0,evacuate,False,True,3,637069.5392921511,6592284.315263693
0,105,105,agent,Heugemerveld,SafeZone,low,4.75,1.5,evacuate,False,True,4,637484.5498610012,6592099.668837389
0,106,106,agent,Heugemerveld,SafeZone,medium,5.0,1.0,evacuate,False,True,4,636695.2860703734,6592292.261119586
0,107,107,agent,Heugemerveld,SafeZone,high,4.25,2.5,evacuate,False,True,4,637420.7268773386,6591871.549871389
0,108,108,agent,Heugemerveld,SafeZone,medium,3.0,2.0,evacuate,False,True,4,637506.3399188139,6591952.041328431
0,109,109,agent,Heugemerveld,SafeZone,medium,5.0,3.0,evacuate,False,True,4,637339.8392530138,6592429.02867992
0,110,110,agent,Heugem,Heugem,medium,5.0,5.0,mitigate,False,False,3,635286.6288350238,6591062.716698284
0,111,111,agent,Heugem,Heugem,medium,3.0,3.0,do_nothing,False,False,3,635203.0755345778,6591471.667488587
0,112,112,agent,Heugem,Heugem,medium,4.5,3.0,mitigate,False,False,3,634959.49108062,6591382.588319506
0,113,113,agent,Heugemerveld,SafeZone,low,4.75,1.5,evacuate,False,True,4,637222.5589552317,6591717.909733728
0,114,114,agent,Heugem,SafeZone,medium,3.5,2.0,evacuate,False,True,3,637120.988424431,6592416.385431679
0,115,115,agent,Heugem,SafeZone,medium,3.75,2.5,evacuate,False,True,3,637490.3195084159,6592541.445801447
1,1,1,agent,Heugem,Heugem,medium,5.0,4.0,mitigate,False,False,3,635176.091350475,6590790.979470995
1,2,2,agent,Heugem,Heugem,medium,5.0,4.0,mitigate,False,False,3,634921.9488031596,6590816.187102462
1,3,3,agent,Heugemerveld,Heugemerveld,low,1.0,5.0,do_nothing,False,False,4,635020.1830438565,6593632.458044243
1,4,4,agent,Randwyck,Randwyck,medium,3.75,3.5,mitigate,False,False,3,635284.4627292048,6592305.760584425
1,5,5,agent,Randwyck,Randwyck,low,2.25,5.0,do_nothing,False,False,2,635613.7544726627,6592276.948082354
1,6,6,agent,Randwyck,SafeZone,medium,2.75,1.5,evacuate,True,True,3,636916.1506640193,6592417.462331428
1,7,7,agent,Heugemerveld,Heugemerveld,low,5.0,5.0,mitigate,False,False,4,635399.8030373805,6593880.492566072
1,8,8,agent,Heugem,Heugem,medium,2.25,3.0,do_nothing,False,False,3,635376.0833777208,6591032.149922391
1,9,9,agent,Heugem,Heugem,medium,4.0,3.5,mitigate,False,False,3,634832.9771294165,6591288.645077685
1,10,10,agent,Heugemerveld,Heugemerveld,low,5.0,5.0,mitigate,False,False,4,635294.6387820662,6593174.803105734
1,11,11,agent,Randwyck,SafeZone,medium,4.0,1.0,evacuate,True,True,3,637305.082962042,6591790.417354947
1,12,12,agent,Heugemerveld,Heugemerveld,low,1.0,5.0,do_nothing,False,False,4,634931.1393292375,6593506.696184552
